Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
09/12/2017,171,3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,98,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,58,5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,78,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,129,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,224,8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,Winter,No Holiday,1
09/12/2017,293,9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,Winter,No Holiday,1
09/12/2017,275,10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,Winter,No Holiday,1
09/12/2017,353,11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,Winter,No Holiday,1
09/12/2017,429,12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,Winter,No Holiday,1
09/12/2017,433,13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,Winter,No Holiday,1
09/12/2017,488,14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,Winter,No Holiday,1
09/12/2017,571,15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,Winter,No Holiday,1
09/12/2017,548,16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,Winter,No Holiday,1
09/12/2017,483,17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,Winter,No Holiday,1
09/12/2017,386,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,277,19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,300,20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,323,21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,291,22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,267,23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,328,0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,282,1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,245,2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,171,3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,73,4,0.4,52,1.6,1816,-8.3,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,15,5,0.3,74,1.0,178,-3.7,0.0,0.0,0.7,Winter,No Holiday,1
10/12/2017,11,6,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,Winter,No Holiday,1
10/12/2017,22,7,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,Winter,No Holiday,1
10/12/2017,37,8,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,Winter,No Holiday,1
10/12/2017,33,9,0.2,90,1.0,305,-1.2,0.0,1.6,4.3,Winter,No Holiday,1
10/12/2017,21,10,0.5,91,0.4,143,-0.8,0.0,0.0,4.3,Winter,No Holiday,1
10/12/2017,60,11,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,Winter,No Holiday,1
10/12/2017,121,12,2.3,88,0.3,245,0.5,0.28,0.0,3.1,Winter,No Holiday,1
10/12/2017,184,13,3.3,87,1.1,230,1.3,0.54,0.0,2.1,Winter,No Holiday,1
10/12/2017,237,14,4.2,85,0.7,325,1.8,0.65,0.0,1.4,Winter,No Holiday,1
10/12/2017,182,15,6.7,63,4.5,715,0.1,0.35,0.0,1.0,Winter,No Holiday,1
10/12/2017,216,16,5.4,71,3.5,622,0.5,0.2,0.0,0.5,Winter,No Holiday,1
10/12/2017,228,17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,Winter,No Holiday,1
10/12/2017,212,18,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,183,19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,167,20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,169,21,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,154,22,-1.0,56,4.7,2000,-8.6,0.0,0.0,0.0,Winter,No Holiday,1
10/12/2017,150,23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,Winter,No Holiday,1
11/12/2017,127,0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,Winter,No Holiday,1
11/12/2017,113,1,-3.4,36,3.8,2000,-16.3,0.0,0.0,0.0,Winter,No Holiday,1
11/12/2017,69,2,-4.2,35,3.4,2000,-17.4,0.0,0.0,0.0,Winter,No Holiday,1
11/12/2017,47,3,-4.7,38,2.4,2000,-16.8,0.0,0.0,0.0,Winter,No Holiday,1
11/12/2017,46,4,-5.2,35,3.2,2000,-18.3,0.0,0.0,0.0,Winter,No Holiday,1
11/12/2017,88,5,-5.6,38,3.2,1974,-17.6,0.0,0.0,0.0,Winter,No Holiday,1
11/12/2017,138,6,-5.9,39,2.9,1979,-17.6,0.0,0.0,0.0,Winter,No Holiday,1
11/12/2017,327,7,-6.0,39,3.1,1996,-17.7,0.0,0.0,0.0,Winter,No Holiday,1
11/12/2017,655,8,-6.0,38,3.6,1994,-18.0,0.01,0.0,0.0,Winter,No Holiday,1
11/12/2017,328,9,-5.9,36,5.1,1941,-18.6,0.1,0.0,0.0,Winter,No Holiday,1
11/12/2017,214,10,-5.3,32,4.5,2000,-19.4,0.62,0.0,0.0,Winter,No Holiday,1
11/12/2017,228,11,-4.7,36,3.8,2000,-17.5,1.0,0.0,0.0,Winter,No Holiday,1
11/12/2017,249,12,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,Winter,No Holiday,1
11/12/2017,243,13,-5.4,32,5.1,1986,-19.5,1.24,0.0,0.0,Winter,No Holiday,1
11/12/2017,255,14,-5.4,31,4.1,1945,-19.9,1.13,0.0,0.0,Winter,No Holiday,1
11/12/2017,271,15,-5.5,33,4.5,2000,-19.2,0.92,0.0,0.0,Winter,No Holiday,1
11/12/2017,279,16,-6.0,40,4.0,2000,-17.4,0.55,0.0,0.0,Winter,No Holiday,1
11/12/2017,363,17,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,Winter,No Holiday,1
11/12/2017,559,18,-7.9,43,3.3,2000,-18.3,0.0,0.0,0.0,Winter,No Holiday,1
